Date,Close,Volume,Open,High,Low
2025-05-19,594.85,68168510,588.1,595.54,588.1
2025-05-16,594.2,76052100,591.25,594.5,589.28
2025-05-15,590.46,71268150,585.56,590.97,585.0969
2025-05-14,587.59,66283530,587.81,588.98,585.535
2025-05-13,586.84,67947230,583.41,589.08,582.84
2025-05-12,582.99,78993570,581.47,583,577.04
2025-05-09,564.34,37603430,566.48,567.5,562.7637
2025-05-08,565.06,65130790,565.24,570.31,561.7
2025-05-07,561.15,55733230,560.15,563.82,556.04
2025-05-06,558.8,48264710,557.93,563.3476,556.96
2025-05-05,563.51,38659220,562.57,566.65,561.7
2025-05-02,566.76,60717270,564.73,568.38,562.38
2025-05-01,558.47,63186150,560.37,564.0699,557.86
2025-04-30,554.54,93101460,547.57,556.52,541.52
2025-04-29,554.32,47775120,548.91,555.45,548.55
2025-04-28,550.85,47613760,551.39,553.55,545.02
2025-04-25,550.64,61119590,546.65,551.05,543.69
2025-04-24,546.69,64150420,536.715,547.43,535.4504
2025-04-23,535.42,90590660,540.43,545.43,533.88
2025-04-22,527.25,75948120,520.14,529.305,519.1925
2025-04-21,513.88,69368130,521.16,521.7,508.46
2025-04-17,526.41,79868080,527.64,531.165,523.91
2025-04-16,525.66,83484810,531.68,537.8854,520.29
2025-04-15,537.61,56892870,539.675,543.23,536.81
2025-04-14,539.12,68033990,544.05,544.28,533.86
2025-04-11,533.94,97866330,523.01,536.43,520.07
2025-04-10,524.58,162331200,532.17,533.495,509.32
2025-04-09,548.62,241867300,493.44,548.62,493.05
2025-04-08,496.48,165816600,521.86,524.98,489.16
2025-04-07,504.38,256611400,489.19,523.17,481.8
2025-04-04,505.28,217965100,523.67,525.87,505.06
2025-04-03,536.7,125986000,545.11,547.97,536.7
2025-04-02,564.52,76014540,555.05,567.42,554.81
2025-04-01,560.97,54609640,557.45,562.94,553.68
2025-03-31,559.39,95328210,549.83,560.7112,546.87
2025-03-28,555.66,71662650,565.53,566.2675,555.07
2025-03-27,567.08,42164250,567.18,570.9,564.94
2025-03-26,568.59,52228900,575.19,576.33,567.19
2025-03-25,575.46,38355740,575.3,576.41,573.69
2025-03-24,574.08,58766800,570.8,575.15,570.2
2025-03-21,563.98,83762960,559.28,564.89,558.03
2025-03-20,565.49,62958200,563.33,570.57,562.6012
2025-03-19,567.13,66555990,562.83,570.95,561.63
2025-03-18,561.02,66041420,564.8,565.02,559.06
2025-03-17,567.15,49008710,562.79,569.71,562.35
2025-03-14,562.81,62660320,556.11,563.83,551.4917
2025-03-13,551.42,74079410,558.49,559.105,549.68
2025-03-12,558.87,69588170,562.17,563.11,553.69
2025-03-11,555.92,88102110,559.4,564.02,552.02
2025-03-10,560.58,99326620,567.59,569.54,555.59
2025-03-07,575.92,81158820,570.9,577.39,565.63
2025-03-06,572.71,80094870,575.48,580.1736,570.12
2025-03-05,583.06,71230530,576.69,584.88,573.0795
2025-03-04,576.86,109648200,579.71,585.39,572.25
2025-03-03,583.77,74249200,596.18,597.34,579.9
2025-02-28,594.18,88744110,585.56,594.72,582.44
2025-02-27,585.05,74196660,596.85,598.02,584.65
2025-02-26,594.54,43321580,595.93,599.58,591.8556
2025-02-25,594.24,58266470,597.15,597.89,589.56
2025-02-24,597.21,50737210,602.02,603.03,596.49
2025-02-21,599.94,76519820,610.16,610.3,599.47
